#{"t_start": 1684013378.3007886, "env_id": "Gym-v0"}
r,l,t,d
3.762142,1,39303.201146,1.0
-864.693867,445,39603.369683,1.0
-1011.6028,448,39903.617686,1.0
-966.538302,500,40134.704241,0.999999918900855
-726.797092,500,40377.709329,1.0
-955.116046,474,40677.789748,1.0
3.602383,1,40678.476786,1.0
-735.533659,486,40979.1915,1.0
-800.441561,456,41279.493159,1.0
-529.014712,345,41579.701908,1.0
3.905428,1,41624.133728,1.0
-940.709799,500,41880.232338,1.0
3.831642,1,41881.457468,1.0
-636.617561,421,42181.786885,1.0
-669.247179,500,42478.664797,1.0
-872.837972,500,42702.084274,0.9999999711272569
-936.968143,500,42936.940232,0.999999981491177
-825.276258,442,43237.010872,1.0
-1055.028901,500,43513.110457,1.0
-761.933687,500,43796.280131,1.0
